,index,Win Percentage,Years Participating,Trophies
0,Chennai Super Kings,60.97560975609756,10,3.0
1,Mumbai Indians,58.288770053475936,12,4.0
2,Sunrisers Hyderabad,53.7037037037037,7,1.0
3,Kolkata Knight Riders,51.68539325842696,12,2.0
4,Rajasthan Royals,51.02040816326531,10,1.0
5,Rising Pune Supergiants,50.0,2,0.0
6,Royal Challengers Bangalore,46.666666666666664,12,0.0
7,Kings XI Punjab,46.59090909090909,12,0.0
8,Delhi Capitals,43.50282485875706,12,0.0
9,Gujarat Lions,43.333333333333336,2,0.0
10,Kochi Tuskers Kerala,42.857142857142854,1,0.0
11,Deccan Chargers,38.666666666666664,5,1.0
12,Pune Warriors,26.08695652173913,3,0.0
